Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","226","Uganda","5312","Area harvested","656","Coffee, green","2019","2019","ha","469364","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","226","Uganda","5419","Yield","656","Coffee, green","2019","2019","hg/ha","5413","Fc","Calculated data"
"QCL","Crops and livestock products","226","Uganda","5510","Production","656","Coffee, green","2019","2019","tonnes","254088","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","656","Coffee, green","2019","2019","ha","170524","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3022","Fc","Calculated data"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","656","Coffee, green","2019","2019","tonnes","51529","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","231","United States of America","5312","Area harvested","656","Coffee, green","2019","2019","ha","2790","","Official data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","656","Coffee, green","2019","2019","hg/ha","8315","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","656","Coffee, green","2019","2019","tonnes","2320","","Official data"
"QCL","Crops and livestock products","155","Vanuatu","5312","Area harvested","656","Coffee, green","2019","2019","ha","50","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","155","Vanuatu","5419","Yield","656","Coffee, green","2019","2019","hg/ha","6200","Fc","Calculated data"
"QCL","Crops and livestock products","155","Vanuatu","5510","Production","656","Coffee, green","2019","2019","tonnes","31","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5312","Area harvested","656","Coffee, green","2019","2019","ha","160634","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5419","Yield","656","Coffee, green","2019","2019","hg/ha","3530","Fc","Calculated data"
"QCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5510","Production","656","Coffee, green","2019","2019","tonnes","56709","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","656","Coffee, green","2019","2019","ha","622637","","Official data"
"QCL","Crops and livestock products","237","Viet Nam","5419","Yield","656","Coffee, green","2019","2019","hg/ha","27046","Fc","Calculated data"
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","656","Coffee, green","2019","2019","tonnes","1683971","","Official data"
"QCL","Crops and livestock products","249","Yemen","5312","Area harvested","656","Coffee, green","2019","2019","ha","34981","","Official data"
"QCL","Crops and livestock products","249","Yemen","5419","Yield","656","Coffee, green","2019","2019","hg/ha","5950","Fc","Calculated data"
"QCL","Crops and livestock products","249","Yemen","5510","Production","656","Coffee, green","2019","2019","tonnes","20812","","Official data"
"QCL","Crops and livestock products","251","Zambia","5312","Area harvested","656","Coffee, green","2019","2019","ha","7736","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","251","Zambia","5419","Yield","656","Coffee, green","2019","2019","hg/ha","9018","Fc","Calculated data"
"QCL","Crops and livestock products","251","Zambia","5510","Production","656","Coffee, green","2019","2019","tonnes","6976","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","181","Zimbabwe","5312","Area harvested","656","Coffee, green","2019","2019","ha","10920","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","181","Zimbabwe","5419","Yield","656","Coffee, green","2019","2019","hg/ha","477","Fc","Calculated data"
"QCL","Crops and livestock products","181","Zimbabwe","5510","Production","656","Coffee, green","2019","2019","tonnes","521","Im","FAO data based on imputation methodology"
